GEO_ID,NAME,S1901_C01_012E,Total ,Ratio
41001,"Baker County, Oregon",46922,2191874,0.021407252
41003,"Benton County, Oregon",68732,2191874,0.031357642
41005,"Clackamas County, Oregon",88517,2191874,0.040384164
41007,"Clatsop County, Oregon",61846,2191874,0.028216038
41009,"Columbia County, Oregon",73909,2191874,0.033719548
41011,"Coos County, Oregon",52548,2191874,0.023974006
41013,"Crook County, Oregon",64820,2191874,0.029572868
41015,"Curry County, Oregon",57553,2191874,0.02625744
41017,"Deschutes County, Oregon",74082,2191874,0.033798476
41019,"Douglas County, Oregon",52479,2191874,0.023942526
41021,"Gilliam County, Oregon",51705,2191874,0.023589403
41023,"Grant County, Oregon",51100,2191874,0.023313384
41025,"Harney County, Oregon",42095,2191874,0.019205027
41027,"Hood River County, Oregon",77815,2191874,0.035501584
41029,"Jackson County, Oregon",61020,2191874,0.027839191
41031,"Jefferson County, Oregon",59748,2191874,0.027258866
41033,"Josephine County, Oregon",51733,2191874,0.023602178
41035,"Klamath County, Oregon",50790,2191874,0.023171952
41037,"Lake County, Oregon",50685,2191874,0.023124048
41039,"Lane County, Oregon",59016,2191874,0.026924905
41041,"Lincoln County, Oregon",54961,2191874,0.02507489
41043,"Linn County, Oregon",63313,2191874,0.028885328
41045,"Malheur County, Oregon",47906,2191874,0.021856183
41047,"Marion County, Oregon",64880,2191874,0.029600242
41049,"Morrow County, Oregon",61659,2191874,0.028130723
41051,"Multnomah County, Oregon",76290,2191874,0.034805833
41053,"Polk County, Oregon",70238,2191874,0.032044725
41055,"Sherman County, Oregon",53606,2191874,0.024456698
41057,"Tillamook County, Oregon",55730,2191874,0.025425732
41059,"Umatilla County, Oregon",63123,2191874,0.028798644
41061,"Union County, Oregon",55227,2191874,0.025196248
41063,"Wallowa County, Oregon",57891,2191874,0.026411646
41065,"Wasco County, Oregon",57853,2191874,0.026394309
41067,"Washington County, Oregon",92025,2191874,0.041984621
41069,"Wheeler County, Oregon",46648,2191874,0.021282245
41071,"Yamhill County, Oregon",73409,2191874,0.033491432